x1;y1;z1;x2;y2;z2;s;t;
50;90;10;50;90;30;124;148;
70;90;10;50;110;10;125;128;
70;90;10;70;110;10;125;129;
70;90;10;70;70;30;125;145;
70;90;10;50;90;30;125;148;
70;90;10;70;90;30;125;149;
10;110;10;30;110;10;126;127;
10;110;10;10;90;30;126;146;
10;110;10;10;110;30;126;150;
30;110;10;50;110;10;127;128;
30;110;10;30;90;30;127;147;
30;110;10;10;110;30;127;150;
30;110;10;30;110;30;127;151;
50;110;10;70;110;10;128;129;
50;110;10;50;90;30;128;148;
50;110;10;30;110;30;128;151;
50;110;10;50;110;30;128;152;
70;110;10;70;90;30;129;149;
70;110;10;50;110;30;129;152;
70;110;10;70;110;30;129;153;
10;10;30;30;10;30;130;131;
10;10;30;10;30;30;130;134;
30;10;30;50;10;30;131;132;
30;10;30;10;30;30;131;134;
30;10;30;30;30;30;131;135;
50;10;30;70;10;30;132;133;
50;10;30;30;30;30;132;135;
50;10;30;50;30;30;132;136;
70;10;30;50;30;30;133;136;
70;10;30;70;30;30;133;137;
10;30;30;30;30;30;134;135;
10;30;30;10;50;30;134;138;
30;30;30;50;30;30;135;136;
30;30;30;10;50;30;135;138;
30;30;30;30;50;30;135;139;
50;30;30;70;30;30;136;137;
50;30;30;30;50;30;136;139;
50;30;30;50;50;30;136;140;
70;30;30;50;50;30;137;140;
70;30;30;70;50;30;137;141;
10;50;30;30;50;30;138;139;
10;50;30;10;70;30;138;142;
30;50;30;50;50;30;139;140;
30;50;30;10;70;30;139;142;
30;50;30;30;70;30;139;143;
50;50;30;70;50;30;140;141;
50;50;30;30;70;30;140;143;
50;50;30;50;70;30;140;144;
70;50;30;50;70;30;141;144;
70;50;30;70;70;30;141;145;
10;70;30;30;70;30;142;143;
10;70;30;10;90;30;142;146;
30;70;30;50;70;30;143;144;
30;70;30;10;90;30;143;146;
30;70;30;30;90;30;143;147;
50;70;30;70;70;30;144;145;
50;70;30;30;90;30;144;147;
50;70;30;50;90;30;144;148;
70;70;30;50;90;30;145;148;
70;70;30;70;90;30;145;149;
10;90;30;30;90;30;146;147;
10;90;30;10;110;30;146;150;
30;90;30;50;90;30;147;148;
30;90;30;10;110;30;147;150;
30;90;30;30;110;30;147;151;
50;90;30;70;90;30;148;149;
50;90;30;30;110;30;148;151;
50;90;30;50;110;30;148;152;
70;90;30;50;110;30;149;152;
70;90;30;70;110;30;149;153;
10;110;30;30;110;30;150;151;
30;110;30;50;110;30;151;152;
50;110;30;70;110;30;152;153;
